datetime,aod_longitude,aod_latitude,station_longitude,station_latitude,AOD,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2025-05-29,106.5999984741211,-6.099998474121094,106.8279877,-6.1811056,1.138800024986267,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.5,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.5999984741211,-6.099998474121094,106.79319751533286,-6.236658728205383,1.138800024986267,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.0,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.5999984741211,-6.099998474121094,106.803,-6.2155,1.138800024986267,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.8,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.5999984741211,-6.099998474121094,106.8235,-6.19466,1.138800024986267,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.3,,43.4,12.3,231.0,20.0,9.0
2025-05-29,106.5999984741211,-6.099998474121094,106.910887,-6.1535777,1.138800024986267,34.1,26.0,29.4,39.3,26.0,33.8,24.3,75.4,4.4,41.67,13.3,18.0,55.9,,45.6,11.6,239.5,20.7,8.0
2025-05-29,106.5999984741211,-6.099998474121094,106.80367,-6.35693,1.138800024986267,34.1,26.0,29.5,39.3,26.0,33.9,24.1,73.8,2.2,37.5,15.8,17.6,31.5,,43.4,12.3,231.0,20.0,9.0
2025-05-29,106.5999984741211,-6.099998474121094,106.90919,-6.28889,1.138800024986267,34.1,26.0,29.4,39.1,26.0,33.8,24.3,75.1,4.4,41.67,13.3,18.0,59.3,,45.8,11.5,239.5,20.7,8.0
2025-05-29,106.5999984741211,-6.099998474121094,106.7525,-6.20737,1.138800024986267,34.1,26.0,29.4,39.8,26.0,33.9,24.2,74.7,2.2,37.5,15.8,17.6,23.3,,43.0,12.5,231.0,20.0,9.0
2025-05-29,106.6500015258789,-6.099998474121094,106.8279877,-6.1811056,0.9383999705314636,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.5,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.6500015258789,-6.099998474121094,106.79319751533286,-6.236658728205383,0.9383999705314636,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.0,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.6500015258789,-6.099998474121094,106.803,-6.2155,0.9383999705314636,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.8,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.6500015258789,-6.099998474121094,106.8235,-6.19466,0.9383999705314636,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.3,,43.4,12.3,231.0,20.0,9.0
2025-05-29,106.6500015258789,-6.099998474121094,106.910887,-6.1535777,0.9383999705314636,34.1,26.0,29.4,39.3,26.0,33.8,24.3,75.4,4.4,41.67,13.3,18.0,55.9,,45.6,11.6,239.5,20.7,8.0
2025-05-29,106.6500015258789,-6.099998474121094,106.80367,-6.35693,0.9383999705314636,34.1,26.0,29.5,39.3,26.0,33.9,24.1,73.8,2.2,37.5,15.8,17.6,31.5,,43.4,12.3,231.0,20.0,9.0
2025-05-29,106.6500015258789,-6.099998474121094,106.90919,-6.28889,0.9383999705314636,34.1,26.0,29.4,39.1,26.0,33.8,24.3,75.1,4.4,41.67,13.3,18.0,59.3,,45.8,11.5,239.5,20.7,8.0
2025-05-29,106.6500015258789,-6.099998474121094,106.7525,-6.20737,0.9383999705314636,34.1,26.0,29.4,39.8,26.0,33.9,24.2,74.7,2.2,37.5,15.8,17.6,23.3,,43.0,12.5,231.0,20.0,9.0
2025-05-29,106.69999694824219,-6.099998474121094,106.8279877,-6.1811056,0.6125999689102173,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.5,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.69999694824219,-6.099998474121094,106.79319751533286,-6.236658728205383,0.6125999689102173,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.0,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.69999694824219,-6.099998474121094,106.803,-6.2155,0.6125999689102173,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.8,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.69999694824219,-6.099998474121094,106.8235,-6.19466,0.6125999689102173,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.3,,43.4,12.3,231.0,20.0,9.0
2025-05-29,106.69999694824219,-6.099998474121094,106.910887,-6.1535777,0.6125999689102173,34.1,26.0,29.4,39.3,26.0,33.8,24.3,75.4,4.4,41.67,13.3,18.0,55.9,,45.6,11.6,239.5,20.7,8.0
2025-05-29,106.69999694824219,-6.099998474121094,106.80367,-6.35693,0.6125999689102173,34.1,26.0,29.5,39.3,26.0,33.9,24.1,73.8,2.2,37.5,15.8,17.6,31.5,,43.4,12.3,231.0,20.0,9.0
2025-05-29,106.69999694824219,-6.099998474121094,106.90919,-6.28889,0.6125999689102173,34.1,26.0,29.4,39.1,26.0,33.8,24.3,75.1,4.4,41.67,13.3,18.0,59.3,,45.8,11.5,239.5,20.7,8.0
2025-05-29,106.69999694824219,-6.099998474121094,106.7525,-6.20737,0.6125999689102173,34.1,26.0,29.4,39.8,26.0,33.9,24.2,74.7,2.2,37.5,15.8,17.6,23.3,,43.0,12.5,231.0,20.0,9.0
2025-05-29,106.75,-6.099998474121094,106.8279877,-6.1811056,0.4772000014781952,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.5,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.75,-6.099998474121094,106.79319751533286,-6.236658728205383,0.4772000014781952,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.0,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.75,-6.099998474121094,106.803,-6.2155,0.4772000014781952,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.8,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.75,-6.099998474121094,106.8235,-6.19466,0.4772000014781952,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.3,,43.4,12.3,231.0,20.0,9.0
2025-05-29,106.75,-6.099998474121094,106.910887,-6.1535777,0.4772000014781952,34.1,26.0,29.4,39.3,26.0,33.8,24.3,75.4,4.4,41.67,13.3,18.0,55.9,,45.6,11.6,239.5,20.7,8.0
2025-05-29,106.75,-6.099998474121094,106.80367,-6.35693,0.4772000014781952,34.1,26.0,29.5,39.3,26.0,33.9,24.1,73.8,2.2,37.5,15.8,17.6,31.5,,43.4,12.3,231.0,20.0,9.0
2025-05-29,106.75,-6.099998474121094,106.90919,-6.28889,0.4772000014781952,34.1,26.0,29.4,39.1,26.0,33.8,24.3,75.1,4.4,41.67,13.3,18.0,59.3,,45.8,11.5,239.5,20.7,8.0
2025-05-29,106.75,-6.099998474121094,106.7525,-6.20737,0.4772000014781952,34.1,26.0,29.4,39.8,26.0,33.9,24.2,74.7,2.2,37.5,15.8,17.6,23.3,,43.0,12.5,231.0,20.0,9.0
2025-05-29,106.80000305175781,-6.099998474121094,106.8279877,-6.1811056,0.09299999475479126,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.5,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.80000305175781,-6.099998474121094,106.79319751533286,-6.236658728205383,0.09299999475479126,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.0,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.80000305175781,-6.099998474121094,106.803,-6.2155,0.09299999475479126,34.1,26.0,29.5,39.4,26.0,33.9,24.1,74.0,2.2,37.5,15.8,17.6,29.8,,43.4,12.4,231.0,20.0,9.0
2025-05-29,106.80000305175781,-6.099998474121094,106.8235,-6.19466,0.09299999475479126,34.1,26.0,29.5,39.4,26.0,33.9,24.1,73.9,2.2,37.5,15.8,17.6,30.3,,43.4,12.3,231.0,20.0,9.0
2025-05-29,106.80000305175781,-6.099998474121094,106.910887,-6.1535777,0.09299999475479126,34.1,26.0,29.4,39.3,26.0,33.8,24.3,75.4,4.4,41.67,13.3,18.0,55.9,,45.6,11.6,239.5,20.7,8.0
